PCA (Distinct),PCA (Non-distinct),L1 (Distinct),L1 (Non-distinct),L2 (Distinct),L2 (Non-distinct),PCA Diff,L1 Diff,L2 Diff
0.9953,0.99942,0.99542,0.99928,0.99416,0.9945,0.00412,0.00386,0.00034
0.99614,0.99953,0.99608,0.9994,0.99504,0.99533,0.00339,0.00332,0.00029
0.99684,0.99962,0.99663,0.9995,0.99577,0.99602,0.00278,0.00287,0.00025
0.99739,0.9997,0.99708,0.99958,0.99635,0.99657,0.00231,0.0025,0.00022
0.99787,0.99976,0.99752,0.99965,0.99688,0.99706,0.00189,0.00213,0.00018
0.99825,0.99981,0.9979,0.99972,0.99735,0.99751,0.00156,0.00182,0.00016
0.99861,0.99985,0.9982,0.99977,0.9978,0.99793,0.00124,0.00157,0.00013
0.99893,0.99988,0.99843,0.99982,0.99812,0.99823,0.00095,0.00139,0.00011
0.99919,0.99991,0.99865,0.99987,0.99838,0.99848,0.00072,0.00122,1E-04
0.99941,0.99993,0.99884,0.9999,0.99858,0.99866,0.00052,0.00106,8E-05
0.99959,0.99995,0.99901,0.99993,0.99879,0.99886,0.00036,0.00092,7E-05
0.99971,0.99996,0.99915,0.99995,0.99895,0.99901,0.00025,0.0008,6E-05
0.9998,0.99997,0.99925,0.99997,0.99909,0.99915,0.00017,0.00072,6E-05
0.99985,0.99998,0.99935,0.99998,0.99923,0.99928,0.00013,0.00063,5E-05
0.9999,0.99998,0.99947,0.99999,0.99935,0.99939,8E-05,0.00052,4E-05
0.99992,0.99998,0.99957,0.99999,0.99948,0.99951,6E-05,0.00042,3E-05
0.99995,0.99999,0.99967,0.99999,0.99959,0.99962,4E-05,0.00032,3E-05
0.99997,0.99999,0.99974,1,0.99968,0.9997,2E-05,0.00026,2E-05
0.99998,0.99999,0.9998,1,0.99976,0.99977,1E-05,0.0002,1E-05
0.99999,0.99999,0.99986,1,0.99984,0.99985,0,0.00014,1E-05
0.99999,1,0.99991,1,0.9999,0.99991,1E-05,9E-05,1E-05
1,1,0.99996,1,0.99995,0.99995,0,4E-05,0
1,1,0.99998,1,0.99997,0.99997,0,2E-05,0
1,1,0.99998,1,0.99997,0.99998,0,2E-05,1E-05
1,1,0.99999,1,0.99998,0.99998,0,1E-05,0
1,1,0.99999,1,0.99999,0.99999,0,1E-05,0
1,1,0.99999,1,0.99999,0.99999,0,1E-05,0
1,1,1,1,0.99999,0.99999,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0
